group,groupName,Age,intErr,extErr,sample,reference
A11,G1-G5,22.31216,0.45655,1.70997,G13,"Zech et al., 2013"
A11,G1-G5,21.95317,0.49637,1.67474,G15,"Zech et al., 2013"
A11,G1-G5,22.48939,0.19029,1.68055,G43,"Zech et al., 2013"
A11,G1-G5,25.54215,0.18038,1.8593,G44,"Zech et al., 2013"
A11,G1-G5,23.00873,0.17426,1.72749,G51,"Zech et al., 2013"
A11,G1-G5,23.54788,0.22947,1.76849,G53,"Zech et al., 2013"
A12,G6-G8,59.60808,1.18129,4.89253,G61,"Zech et al., 2013"
A12,G6-G8,73.9138,0.55938,6.06689,G62,"Zech et al., 2013"
A12,G6-G8,63.61635,1.4365,5.06315,G65,"Zech et al., 2013"
A12,G6-G8,69.44906,0.45942,5.66464,G72,"Zech et al., 2013"
A12,G6-G8,65.24846,0.4688,5.00777,G81,"Zech et al., 2013"
A12,G6-G8,49.24317,1.06622,4.2267,G83,"Zech et al., 2013"
A12,G6-G8,63.99448,0.38773,4.89158,G85,"Zech et al., 2013"
A21,AK1-AK4,21.40295,0.15338,1.54418,AK11,"Abramowski et al., 2006"
A21,AK1-AK4,28.97674,0.14986,2.15372,AK12,"Abramowski et al., 2006"
A21,AK1-AK4,22.48468,0.18482,1.69039,AK13,"Abramowski et al., 2006"
A21,AK1-AK4,24.69133,0.15472,1.80547,AK21,"Abramowski et al., 2006"
A21,AK1-AK4,14.00418,0.09875,1.06999,AK22,"Abramowski et al., 2006"
A21,AK1-AK4,17.0988,0.13841,1.29597,AK23,"Abramowski et al., 2006"
A21,AK1-AK4,20.88521,0.12197,1.46193,AK24,"Abramowski et al., 2006"
A21,AK1-AK4,20.99366,0.11433,1.47596,AK25,"Abramowski et al., 2006"
A21,AK1-AK4,12.5199,0.07558,0.96494,AK31,"Abramowski et al., 2006"
A21,AK1-AK4,31.15371,0.15615,2.31333,AK32,"Abramowski et al., 2006"
A21,AK1-AK4,25.83754,0.12919,1.89753,AK33,"Abramowski et al., 2006"
A21,AK1-AK4,21.40729,0.14719,1.53449,AK34,"Abramowski et al., 2006"
A21,AK1-AK4,16.55156,0.1101,1.25912,AK35,"Abramowski et al., 2006"
A21,AK1-AK4,28.69724,0.13762,2.12177,AK41,"Abramowski et al., 2006"
A21,AK1-AK4,24.20212,0.10459,1.78598,AK42,"Abramowski et al., 2006"
A21,AK1-AK4,23.4048,0.13425,1.75519,AK43,"Abramowski et al., 2006"
A21,AK1-AK4,24.62236,0.12724,1.79396,AK44,"Abramowski et al., 2006"
A21,AK1-AK4,18.87991,0.08398,1.36451,AK45,"Abramowski et al., 2006"
A22,KK,67.40238,0.32224,5.3642,KK1,"Abramowski et al., 2006"
A22,KK,73.74388,0.35716,6.01105,KK2,"Abramowski et al., 2006"
A22,KK,62.99088,0.26954,4.83642,KK3,"Abramowski et al., 2006"
A31,Kitsch Kurumdu-6,59.49959,1.78961,5.07603,KI31,Zech 2012
A31,Kitsch Kurumdu-6,62.85827,2.38709,5.37606,KI32,Zech 2012
A31,Kitsch Kurumdu-6,18.69498,0.67524,1.52353,KI33,Zech 2012
A41,Terskey Ala Tau-3,36.60144,0.57483,2.73312,KTS98-CS-66,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,32.38643,0.74274,2.52811,KTS98-CS-81,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,62.94378,0.7322,4.90879,KTS98-CS-87,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,67.94299,1.15579,5.54292,KTS98-CS-88,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,47.90574,1.7713,4.29612,KTS98-CS-104,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,122.9604,5.43729,10.92638,KTS98-CS-90,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,146.39725,3.73097,13.08227,KTS98-CS-91,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,68.24033,1.68622,5.7142,KTS98-CS-92,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,51.68158,1.37284,4.53657,KTS98-CS-83,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,40.29248,0.90589,3.07686,SCT-020901-2,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,33.00762,0.78497,2.57881,SCT-020901-3,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,88.92098,2.09651,7.48642,KTS98-CS-97,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,49.28783,1.23026,4.23227,KTS98-CS-98,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,30.82375,0.73779,2.42188,SCT-020901-4,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,41.54005,1.15638,3.25288,SCT-020901-5,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,93.34094,2.1821,7.56368,SCT-030901-6,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,93.38409,2.47555,7.66704,KTS98-CS-93,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,102.78794,2.8078,8.37734,KTS98-CS-94,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,127.37163,2.53226,10.507,KTS98-CS-95,"Koppes et al., 2008"
A43,Terskey Ala Tau-1,70.11875,1.71182,5.91177,KTS98-CS-96,"Koppes et al., 2008"
B11,AT,47.24923,0.26306,3.98842,AT11,"Abramowski et al., 2006"
B11,AT,21.90107,0.17928,1.59204,AT13,"Abramowski et al., 2006"
B11,AT,24.64761,0.08387,1.77657,AT21,"Abramowski et al., 2006"
B11,AT,19.23668,0.06427,1.34472,AT22,"Abramowski et al., 2006"
B12,TK,82.98077,0.32729,6.91967,TK11,"Abramowski et al., 2006"
B12,TK,69.88392,0.32556,5.71157,TK12,"Abramowski et al., 2006"
B12,TK,79.79877,0.32618,6.87712,TK13,"Abramowski et al., 2006"
B12,TK,86.90482,0.34279,7.28131,TK14,"Abramowski et al., 2006"
B12,TK,82.12344,0.32543,6.92586,TK15,"Abramowski et al., 2006"
B21,Gu-Sha,34.65833,0.40345,2.50757,13TMS011,"Stuebner et al., 2017"
B21,Gu-Sha,14.57448,0.23281,1.10884,13TMS012,"Stuebner et al., 2017"
B21,Gu-Sha,36.5658,0.58471,2.6982,13TMS013,"Stuebner et al., 2017"
B21,Gu-Sha,15.49159,0.24222,1.17872,13TMS001,"Stuebner et al., 2017"
B21,Gu-Sha,24.70564,0.59641,1.86728,13TMS002,"Stuebner et al., 2017"
B21,Gu-Sha,31.28174,0.3767,2.31891,13TMS004,"Stuebner et al., 2017"
B21,Gu-Sha,74.06594,0.9787,6.17419,13TMS006,"Stuebner et al., 2017"
B21,Gu-Sha,48.21166,0.67115,4.05583,13TMS018,"Stuebner et al., 2017"
B21,Gu-Sha,49.2627,0.68583,4.16328,13TMS019,"Stuebner et al., 2017"
B21,Gu-Sha,14.04751,0.22228,1.08045,13TMS016,"Stuebner et al., 2017"
B21,Gu-Sha,31.9414,0.49111,2.39814,13TMS017,"Stuebner et al., 2017"
B21,Gu-Sha,13.67359,0.28914,1.08885,13TMS020,"Stuebner et al., 2017"
B31,M4,28.934158,1.080816,2.367241,M4/1,"Zech et al., 2005"
B31,M4,28.939474,1.618506,2.655928,M4/2,"Zech et al., 2005"
B31,M4,29.294531,1.049402,2.388137,M4/3,"Zech et al., 2005"
B32,M2-M3,61.058968,1.78082,5.024344,M3/1,"Zech et al., 2005"
B32,M2-M3,55.023205,1.727364,4.862021,M3/2,"Zech et al., 2005"
B32,M2-M3,40.401138,1.294523,3.060775,M3/3,"Zech et al., 2005"
B32,M2-M3,67.302414,2.896742,6.079477,M2/1,"Zech et al., 2005"
B32,M2-M3,23.721403,0.918314,1.973707,M2/2,"Zech et al., 2005"
B32,M2-M3,37.978157,1.185136,2.959853,M2/3,"Zech et al., 2005"
B32,M2-M3,47.885387,1.893744,4.448169,M2/4,"Zech et al., 2005"
B32,M2-M3,68.784355,1.940622,5.905199,M2/5,"Zech et al., 2005"
B32,M2-M3,17.078129,0.986886,1.613651,M2/6,"Zech et al., 2005"
B32,M2-M3,18.730839,0.766513,1.544988,M2/7,"Zech et al., 2005"
B33,M1,77.21261,2.97972,7.08108,M1/1,"Zech et al., 2005"
B33,M1,85.74182,3.22018,7.85673,M1/2,"Zech et al., 2005"
B33,M1,83.90141,3.70267,7.86382,M1/3,"Zech et al., 2005"
B33,M1,79.20723,4.33921,8.05107,M1/4,"Zech et al., 2005"
B33,M1,89.37285,3.52008,8.02273,M1/5,"Zech et al., 2005"
B33,M1,85.58077,3.49167,7.94651,M1/6,"Zech et al., 2005"
B33,M1,85.17102,3.1885,7.74427,M1/7,"Zech et al., 2005"
B33,M1,82.03783,5.05477,8.57832,OB21,"Roehringer et al., 2012"
B33,M1,84.19777,3.50003,7.7636,OB22,"Roehringer et al., 2012"
B41,BO2-BO5,22.29127,1.28224,2.07651,BT52,"Roehringer et al., 2012"
B41,BO2-BO5,24.6651,1.27969,2.18231,BT62,"Roehringer et al., 2012"
B41,BO2-BO5,20.58797,0.90477,1.65708,BT63,"Roehringer et al., 2012"
B41,BO2-BO5,23.57133,1.02636,2.02415,BT91,"Roehringer et al., 2012"
B41,BO2-BO5,24.68431,1.18386,2.12906,BT92,"Roehringer et al., 2012"
B41,BO2-BO5,22.57948,1.07417,1.98573,BT93,"Roehringer et al., 2012"
B41,BO2-BO5,23.77531,0.08583,1.75363,BO21,"Abramowski et al., 2006"
B41,BO2-BO5,23.46503,0.08311,1.7412,BO24,"Abramowski et al., 2006"
B41,BO2-BO5,24.58577,0.09028,1.7689,BO28,"Abramowski et al., 2006"
B41,BO2-BO5,23.46173,0.09241,1.74144,BO29,"Abramowski et al., 2006"
B42,BO1,37.19619,0.12678,2.6587,BO11,"Abramowski et al., 2006"
B42,BO1,36.6159,0.14899,2.61271,BO12,"Abramowski et al., 2006"
B42,BO1,59.49925,0.22321,4.77296,BO13,"Abramowski et al., 2006"
B42,BO1,72.72838,0.28393,5.95796,BO14,"Abramowski et al., 2006"
B42,BO1,55.25414,0.21635,4.54545,BO17,"Abramowski et al., 2006"
B42,BO1,57.51651,3.32075,5.71911,BT101,"Roehringer et al., 2012"
B42,BO1,56.78971,2.5251,5.26902,BT103,"Roehringer et al., 2012"
B42,BO1,70.79094,4.37233,7.25197,BT104,"Roehringer et al., 2012"
B42,BO1,65.23087,2.32307,5.46846,BT105,"Roehringer et al., 2012"
B51,UK4-UK6,18.56159,0.06583,1.33837,UK61,"Abramowski et al., 2006"
B51,UK4-UK6,19.0736,0.06601,1.3336,UK51,"Abramowski et al., 2006"
B51,UK4-UK6,20.79852,0.0699,1.4103,UK52,"Abramowski et al., 2006"
B51,UK4-UK6,44.21463,0.16181,3.26074,UK53,"Abramowski et al., 2006"
B51,UK4-UK6,19.62818,0.06557,1.33326,UK54,"Abramowski et al., 2006"
B51,UK4-UK6,21.238,0.11597,1.46979,UK41,"Abramowski et al., 2006"
B51,UK4-UK6,22.08344,0.10741,1.60514,UK42,"Abramowski et al., 2006"
B51,UK4-UK6,26.3369,0.09467,1.91758,UK43,"Abramowski et al., 2006"
B51,UK4-UK6,16.52251,0.0976,1.25736,UK44,"Abramowski et al., 2006"
B51,UK4-UK6,32.23468,0.13794,2.35851,UK45,"Abramowski et al., 2006"
B52,UK1-UK3,67.85507,0.26431,5.43779,UK31,"Abramowski et al., 2006"
B52,UK1-UK3,84.5732,0.34726,6.96333,UK32,"Abramowski et al., 2006"
B52,UK1-UK3,73.23081,0.35342,6.00955,UK33,"Abramowski et al., 2006"
B52,UK1-UK3,53.66009,0.22123,4.56088,UK34,"Abramowski et al., 2006"
B52,UK1-UK3,99.50432,0.36243,7.54037,UK35,"Abramowski et al., 2006"
B52,UK1-UK3,79.46001,0.33778,6.83841,UK21,"Abramowski et al., 2006"
B52,UK1-UK3,40.41369,0.19343,2.77526,UK24,"Abramowski et al., 2006"
B52,UK1-UK3,25.57586,0.09551,1.84175,UK25,"Abramowski et al., 2006"
B52,UK1-UK3,37.41432,0.14427,2.67197,UK26,"Abramowski et al., 2006"
B52,UK1-UK3,74.40995,0.29858,6.16128,UK28,"Abramowski et al., 2006"
B52,UK1-UK3,121.54617,0.43841,8.97584,UK11,"Abramowski et al., 2006"
B52,UK1-UK3,88.22861,0.34304,7.28368,UK12,"Abramowski et al., 2006"
B61,GU1,52.17465,0.23698,4.48116,GU11,"Abramowski et al., 2006"
B61,GU1,37.91069,0.10012,2.69388,GU12,"Abramowski et al., 2006"
B61,GU1,20.89374,0.06433,1.41865,GU13,"Abramowski et al., 2006"
B61,GU1,31.28943,0.09992,2.28618,GU15,"Abramowski et al., 2006"
B61,GU1,25.26296,0.10456,1.8001,GU16,"Abramowski et al., 2006"
B61,GU1,77.38999,0.24743,6.46854,GU19,"Abramowski et al., 2006"
B62,GU2,32.87112,0.1606,2.39799,GU21,"Abramowski et al., 2006"
B62,GU2,28.16508,0.18484,2.03441,GU22,"Abramowski et al., 2006"
B62,GU2,57.49487,0.29462,4.66689,GU24,"Abramowski et al., 2006"
B62,GU2,62.03781,0.28907,4.73372,GU25,"Abramowski et al., 2006"
B62,GU2,26.76115,0.10774,1.93894,GU26,"Abramowski et al., 2006"
B63,GU3,20.58981,0.07348,1.38838,GU31,"Abramowski et al., 2006"
B63,GU3,48.1278,0.17919,4.03785,GU32,"Abramowski et al., 2006"
B63,GU3,28.15485,0.09764,2.02569,GU34,"Abramowski et al., 2006"
B63,GU3,34.6934,0.18812,2.45383,GU36,"Abramowski et al., 2006"
B63,GU3,25.2424,0.21607,1.80789,GU38,"Abramowski et al., 2006"
B64,GU4,27.86768,0.20276,2.00885,GU42,"Abramowski et al., 2006"
B64,GU4,22.97293,0.09695,1.71018,GU44,"Abramowski et al., 2006"
B64,GU4,33.06448,0.22517,2.41269,GU47,"Abramowski et al., 2006"
C11,Subakh,128.05145,3.4066,10.80733,MUST-15,"Seong et al., 2009a"
C11,Subakh,110.32716,2.46525,8.6805,MUST-16,"Seong et al., 2009a"
C11,Subakh,71.72253,1.72087,6.09768,MUST-17,"Seong et al., 2009a"
C11,Subakh,45.49322,1.07287,3.67542,MUST-18,"Seong et al., 2009a"
C11,Subakh,138.51888,3.51698,12.48277,MUST-19,"Seong et al., 2009a"
C11,Subakh,93.06247,2.8432,7.69243,MUST-20,"Seong et al., 2009a"
C11,Subakh,41.77875,1.00067,3.09255,MUST-80,"Seong et al., 2009a"
C11,Subakh,28.60536,0.62189,2.17326,MUST-81,"Seong et al., 2009a"
C11,Subakh,82.35687,1.05054,6.99316,MUST-82,"Seong et al., 2009a"
C11,Subakh,24.08212,0.66312,1.88306,MUST-83,"Seong et al., 2009a"
C11,Subakh,63.03958,1.06109,4.91087,MUST-84,"Seong et al., 2009a"
C11,Subakh,115.87901,1.66605,8.96709,MUST-90,"Seong et al., 2009a"
C11,Subakh,27.11832,0.6095,2.04745,MUST-91,"Seong et al., 2009a"
C11,Subakh,67.78224,2.36907,5.91215,MUST-92,"Seong et al., 2009a"
C11,Subakh,19.58931,0.65996,1.49683,MUST-62,"Seong et al., 2009a"
C11,Subakh,27.08376,0.6623,2.06633,MUST-63,"Seong et al., 2009a"
C11,Subakh,25.32663,0.55297,1.89169,MUST-64,"Seong et al., 2009a"
C11,Subakh,78.47086,1.60324,6.79927,MUST-65,"Seong et al., 2009a"
C11,Subakh,50.75506,0.94612,4.44631,MUST-66,"Seong et al., 2009a"
C11,Subakh,25.89583,0.57398,1.97144,MUST-86,"Seong et al., 2009a"
C11,Subakh,31.29178,0.78233,2.42977,KONG_29,"Seong et al., 2009a"
C11,Subakh,59.742,1.39094,4.94278,KONG_30,"Seong et al., 2009a"
